DPM1
SCYL3
C1orf112
FGR
CFH
GCLC
STPG1
NIPAL3
LAS1L
SEMA3F
CFTR
ANKIB1
RAD52
LAP3
HS3ST1
AOC1
LASP1
SNX11
M6PR
KLHL13
ICA1
DBNDD1
ALS2
CASP10
CFLAR
NDUFAF7
RBM5
SLC7A2
SARM1
POLDIP2
AK2
CD38
RBM6
CAMKK1
RECQL
VPS50
NDUFAB1
SLC25A13
ST7
CDC27
DVL2
PRSS22
UPF1
SKAP2
MCUB
DHX33
MEOX1
THSD7A
LIG3
RPAP3
ACSM3
CIAPIN1
FAM214B
COPZ2
PRKAR2B
CREBBP
TSPOAP1
GCFC2
WDR54
CROT
ABCB4
KMT2E
RHBDD2
IBTK
ZNF195
MYCBP2
ITGAL
ITGA3
ZFX
LAMP2
GDE1
CRLF1
OSBPL7
MAP3K14
ABCC8
AP2B1
ZNF263
CX3CL1
MAP3K9
RALA
BAIAP2L1
KDM7A
ETV1
AGK
ALDH3B1
TTC22
PHTF2
CCL26
FARP2
USH1C
DBF4
TBXA2R
IFRD1
COX10
GTF2IRD1
VPS41
ARHGAP44
ELAC2
SCIN
ARSD
ADIPOR2
MARK4
PROM1
CCDC124
CEACAM21
PAFAH1B1
DNAH9
KIAA0100
GAS7
MATK
ST7L
LUC7L
CACNA2D2
PIGQ
TEAD3
DNAJC11
MYLIP
NOX1
PSMB1
JARID2
CDKL5
NADK
CYTH3
ADAM22
SYPL1
CYB561
SPAG9
AASS
PLEKHG6
MPND
MGST1
CRY1
NFIX
ST3GAL1
PKD1
MED24
HEATR5B
SEC62
RPS20
CSDE1
UBE3C
REV3L
IYD
FAM76A
TRAF3IP3
POMT2
VTA1
MLXIPL
BAZ1B
RANBP9
ETV7
SPRTN
ZNF207
UQCRC1
STARD3NL
CD9
NCAPD2
IFFO1
GIPR
PHF7
NISCH
STAB1
FUZ
PRSS3
ZNF200
CD4
LRRC23
BTK
HFE
SCMH1
FYN
HIVEP2
FMO1
CLCN6
MRC2
TSPAN9
BTBD7
MKS1
ABHD5
ANOS1
AKAP8L
MBTD1
UTP18
RNF216
TTC19
SYT7
LARS2
PIK3C2A
PLAUR
ANLN
RABGAP1
DCN
PPP5C
CEP68
MAP4K3
ZBTB32
TYROBP
TMEM159
BRCA1
ERCC1
CD22
SEMA3B
MBTPS2
PRICKLE3
EXTL3
NR1H4
ELOVL5
ALOX5
KDM5D
CALCOCO1
UBR7
MAP4K5
EHD3
PSMC4
MAN2B2
MVP
NUB1
PGM3
CLK1
POLR3B
ANGEL1
RNF14
DNASE1L1
DDX11
HEBP1
GPRC5A
MAMLD1
CD6
TACC3
UFL1
ZC3H3
CAPN1
ACPP
SLC30A9
CCDC88C
YAF2
ZMYND11
BID
NPC1L1
XYLT2
NUDCD3
ISL1
IL20RA
GLT8D1
ATP2C1
IGF1
RALBP1
RUFY3
CNTN1
SLC11A1
WWTR1
AGPS
CXorf56
ATP1A2
TTC27
VSIG2
PHLDB1
MARCO
PRDM11
SYT13
CD74
HGF
ZRANB1
NCDN
ADGRA2
ZFP64
MNAT1
SAMD4A
RUNX3
MRE11A
SLC7A9
SPAST
NRXN3
OSBPL5
AQR
CPS1
FHL1
RTFDC1
NLRP2
SLC45A4
RNF10
ZNF839
ZDHHC6
GRAMD1B
RNH1
NDUFS1
RB1CC1
ERP44
ALAS1
BIRC3
AKAP11
DERA
ABCC2
DEF6
PLEKHO1
GCLM
UBR2
EHD2
DEPDC1
CCDC28A
RRAGD
HSF2
PHF20
HSD17B6
NR1H3
TYMP
NCAPH2
SEC63
KPNA6
VIM
FAS
CD44
AGPAT4
SLAMF7
BTN3A1
MIPEP
PRKCH
IFNGR1
VRK2
TNFRSF1B
VEZT
POU2F2
BRD9
SNX1
TBPL1
ARNTL2
BCLAF1
SLC39A9
ANK1
TFB1M
RABEP1
HMGB3
NUP160
IKZF2
GRN
FAM13B
ARHGAP31
CENPQ
SARS
RANBP3
ARID4A
TSSC1
PNPLA6
IFT88
ZCCHC8
LRRC7
FUT8
UBA6
GAB2
ATP6V0A1
PIAS1
SLC4A7
APBA2
MAP2K3
ASTE1
RNF19A
PEX3
SH3YL1
FAM136A
VCL
DEPDC1B
DAPK2
NSMAF
ADSS
STAP1
TIMP2
RFC1
TBC1D23
CUL3
MYOM2
ZZZ3
USP2
CASR
TUBG2
RPL26L1
FLT4
NSUN2
FBXO42
MFAP3
MRI1
AGA
PI4K2B
BOD1L1
MAT2B
TLL1
TRIO
VCAN
CLEC16A
MSR1
CDH1
SKIV2L2
DNAH5
ZFYVE16
FAM65A
C6
RAI14
PNKP
PHLPP2
SPDL1
STAU2
PQLC2
CTNS
INPP4A
RAB27B
PSMA4
LSG1
THAP3
FAM65C
TDP1
AIFM2
SPATA7
RETSAT
CAPG
AP2S1
BARX2
DCUN1D1
JADE2
LCP2
TRIT1
ADRB1
CUL7
CTNNA1
PHKA2
CNTLN
EPHA3
HSPA5
DSG2
GEMIN8
OFD1
GPM6B
PREX2
WDR37
YTHDC2
CTPS2
ATP6V1H
POLR2B
FAM214A
ARAP2
TPR
CP
KIAA0556
DTNBP1
C12orf4
SCML1
WWC3
ARHGAP6
FAM184B
MAP4
GOPC
USP28
HDAC9
TSPAN17
CC2D2A
RRM2B
ZNF800
SNX29
MRPS10
RSF1
VPS13D
CELF2
FAM120A
R3HDM1
COL9A2
KITLG
ERCC8
ADAMTS6
H6PD
PER3
TNFRSF9
LTBP1
ELN
RFC2
ARID1B
NEDD4L
FOXP3
PPP1R3F
HEXB
PTCD2
DKK3
NFE2L3
MCUR1
LIMA1
LETMD1
SLC4A8
LAMC3
PTGER3
TNIP3
MAPK9
COL23A1
BCAR1
FAM160A2
HERPUD1
RAD51
PIK3CB
CYBA
THOC3
HEBP2
MPHOSPH9
PLEKHA5
SIKE1
RRP12
FNIP2
MSMO1
TTC17
FOXN3
MRTO4
USE1
MCF2L2
LAMA3
AP5M1
ANAPC4
KCNQ1
TRAPPC3
THRAP3
ARID4B
OPN3
SDCCAG8
HHAT
KIF1B
TBC1D22A
SYNE2
PLEKHH1
ATP9A
CHRDL2
FAM168A
GALC
NOP58
SZRD1
CUL1
FAM114A2
CYFIP2
TAB2
GINM1
EIF2AK2
USP36
KMT2C
PUM2
HPF1
ZFR
ZNF280C
TRAF1
RC3H2
IL17RB
TRAF3IP2
GYG2
DCBLD2
SOAT1
PKP2
GDI2
PRDM1
ATG5
TMCC3
PITHD1
MTA3
USP13
ATP11B
LAMC2
CDK14
SEC61A1
PPP1R12A
CROCC
POLR3E
ATP2B4
YIPF1
NDC1
DGKG
FLYWCH1
UNKL
TBXAS1
PARP12
ALDH18A1
TARBP1
GATB
MXD1
CDK17
SLC2A3
PSD
CTDP1
YBX3
STYK1
WNK1
CCAR1
OGFR
GNA15
PIGV
PTPRU
SNRNP40
RIMBP2
COL11A1
QSER1
MPC1
BCAT1
HDAC7
LZTS1
SPAG4
NCKAP1
MRPS35
GUCY1B3
SFSWAP
TNK2
MON2
CDH3
GPBP1
CS
WAPL
VMP1
APPBP2
POLD1
EIF4B
SLC6A16
EPN1
MED29
ZNF275
MTMR1
ADCK1
HAGH
RNF4
CASP8
LIMCH1
ASUN
TM7SF3
TSPAN32
ST3GAL6
ATP2C2
CDON
TAF2
HIPK2
TNPO3
RFXANK
TMEM161A
SUGP2
SLC12A2
SNX24
EYA2
CNN2
ABCA7
SNCAIP
DDX20
FAR2
BCAS1
CHI3L2
SBNO2
PMS1
HMG20B
TAF11
ANKS1A
AP3D1
ZNF76
SLC9A3R2
UHRF1BP1
IPO5
OAT
WDR3
PKN2
WDR18
TRAM2
NTN1
DGKA
ERBB3
ANKRD44
KARS
ADAT1
PDIA5
TBC1D22B
NDUFB4
SPEN
MYLK
ZC3H15
MAP2K4
TMEM206
SLK
CYB5R4
COL17A1
GSTO2
SEC61A2
TLE2
ASB1
FAM107B
ME1
TBC1D1
CDK13
MTHFD2
SLC9A7
FOXJ2
YBX1
PDE4A
PPP2R5A
ELAVL1
TIE1
DIP2B
SMARCD1
NFYC
ZMYND12
NGEF
ASPM
CD84
SPI1
ZNRD1
MPPED2
CLDN18
ZBTB11
ATXN3
GOLGA5
FGFR2
LRRC40
ISOC1
EML1
TRMT11
MSANTD3
ATG2B
ARFGEF1
ZFAT
MTFR1
STAG3
FECH
MYO9A
DDX3Y
PFKP
SP100
KLF6
PLPP1
NEO1
TRAM1
PHKA1
TNFRSF1A
CACNB1
EVI5
PKM
DHX29
DNTTIP2
METTL22
TP53BP1
RRP15
RHOA
DHX8
PMS2P4
PRKCZ
ZFY
IARS2
SYT1
NAV3
ROCK1
CBFB
PDK3
